atlas_joint_error,atlas_probe_loss,atlas_vs_generic_hybrid_cubic_ratio,catastrophic,cell,development_target_cell,discharge_order,eta,event_index,event_rank_fraction,fallback_certification_loss,generic_hybrid_cubic_joint_error,last_probe_after_event,local_joint_error,local_relaxation_error,local_tail_error,local_temperature_coordinate,local_temperature_kind,local_voltage_coordinate,local_voltage_kind,q_off_Ah,raw_points,relaxation_points,relaxation_safe_vs_local_ratio,rest_duration_s,safe_joint_error,safe_relaxation_error,safe_tail_error,safe_vs_local_ratio,scored_points,selected_lambda,source_cycle_index,tail_points,tail_safe_vs_local_ratio
0.023034850930150327,7.022354032172444e-06,0.17683959532066448,False,B0005,B0005,150,-0.04999999999999871,261,0.8585526315789473,0.011267684994295772,0.1302584462963799,True,0.10409036574968836,0.1214477078436475,0.09353053127796304,charge,pchip,charge,pchip,1.3601240610696221,305,42,0.41235723897954707,417.28099999999995,0.045944844138067716,0.05007984148680117,0.04735511782363359,0.4413938197561312,300,0.5,547,24,0.5063065201981917
0.027908517710899857,5.669935429959193e-06,0.18599635361020433,False,B0005,B0005,155,1.3322676295501878e-15,252,0.84,0.020175680212631657,0.15004873573698227,True,0.1073137939005913,0.12444426110342545,0.08344666125083827,charge,pchip,charge,pchip,1.3134751321324278,301,47,0.21777202721425398,465.71900000000005,0.019375711384306524,0.027100479015672894,0.022573047964363272,0.18055191863084213,296,0.75,567,24,0.27050870131891
0.028934917407996866,5.926683523871599e-06,0.1839047700099329,False,B0005,B0005,161,1.3322676295501878e-15,249,0.8383838383838383,0.018787657934167527,0.15733641605073134,True,0.10874074135712995,0.12670517134559037,0.08451256194754748,charge,pchip,charge,pchip,1.297894598100587,298,47,0.22016963872385184,465.53099999999995,0.019201635868400603,0.027896631799602375,0.023359433638651877,0.17658180024116216,293,0.75,591,24,0.2764019111519759
0.030088242707526813,4.961231525432595e-06,0.21791260023768635,False,B0005,B0005,167,-0.04999999999999871,254,0.8494983277591973,0.01502458915107745,0.13807481841209876,True,0.10600372288790949,0.1238758829815825,0.09341748327791666,charge,pchip,charge,pchip,1.3250793286429365,300,44,0.3887407381371763,436.4369999999999,0.04398996109709202,0.048155602187654856,0.047133808250052645,0.41498505805883734,295,0.5,613,24,0.5045501826443959
0.024158861025540233,6.9312665752264886e-06,0.37219260977381036,False,B0006,B0006,0,-0.19999999999999885,196,1.0,0.0004448396012405006,0.06490956668973655,False,0.06562358652442007,nan,0.21496449309928273,rank,poly3,rank,pchip,2.04670279763099,197,0,nan,1e-10,0.04457139023030356,nan,0.14749405700976442,0.6791977182429294,192,0.5,1,16,0.6861321834282806
0.02752043126242903,8.958865133842154e-06,0.3612488989807347,False,B0006,B0006,6,-0.349999999999999,194,1.0,0.0003378781217661862,0.07618135678773844,False,0.07672830606531504,nan,0.2550652800825852,rank,poly3,rank,pchip,2.0244845012390633,195,0,nan,1e-10,0.0516077004444156,nan,0.17313278674226387,0.6726031511823616,190,0.5,13,16,0.6787783373974177
0.016078563491687937,9.110403258354446e-06,0.2546253049624942,False,B0006,B0006,12,-0.349999999999999,185,1.0,0.00030061595030630745,0.06314597637519287,False,0.06361193641405145,nan,0.20967799279023216,rank,poly3,rank,pchip,1.9232799539368028,186,0,nan,1e-10,0.03922429769379803,nan,0.12982058012398356,0.6166185138349859,181,0.5,26,15,0.6191426119471669
0.031036970654496253,7.367938526058299e-06,0.417739388564738,False,B0006,B0006,17,-0.29999999999999893,181,1.0,0.00041881962106830655,0.0742974483711784,False,0.07476505864976138,nan,0.2552955356156891,rank,poly3,rank,pchip,1.8787595848221552,182,0,nan,1e-10,0.052407291915864664,nan,0.1809313541129457,0.7009596844077635,177,0.5,36,14,0.7087133493212039
0.016573013999501635,1.0518463064359552e-05,0.24800542690267594,False,B0006,B0006,23,-0.399999999999999,187,1.0,0.00035184194913482497,0.06682520703873684,False,0.06702886209366576,nan,0.2231805175855263,rank,poly3,rank,pchip,1.945981133142164,188,0,nan,1e-10,0.040950561170552846,nan,0.13695051166734137,0.6109392266473024,183,0.5,57,15,0.6136311231326891
0.0356979685551205,7.242241603945552e-06,0.25564585211150814,False,B0006,B0006,29,-0.349999999999999,180,0.994475138121547,0.0001257662927072867,0.13963836401127952,False,0.07291055352216738,0.27662546665812265,0.24767520223379022,rank,poly3,rank,pchip,1.8684399120705961,182,1,1.1331880486278276,20.172000000000025,0.042696525688041616,0.3134686727630802,0.14831728991412124,0.585601447601963,177,0.75,81,14,0.5988378674023199
