cell,discharge_order,source_cycle_index,raw_points,scored_points,tail_points,local_voltage_kind,local_temperature_kind,selected_lambda,probe_certification_error,safe_joint_error,local_joint_error,flow_joint_error,safe_vs_local_ratio,safe_tail_error,local_tail_error,tail_safe_vs_local_ratio,catastrophic,development_target_cell,clock_regularization,blend_penalty,transport_alpha,transport_beta,transport_tau,transport_temperature_lag,transport_C_probe_Ah,transport_probe_data_loss,transport_regularized_objective
B0006,23,57,188,183,15,pchip,poly3,0.0,0.0019204317617386938,0.06696740300363023,0.06696740300363023,0.08164108738297267,1.0,0.22246120291407065,0.22246120291407065,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.8943844623935808,0.00029173106921201794,0.00029173106921201794
B0006,29,81,182,177,14,pchip,poly3,0.0,0.0025416645190069606,0.0729009713592582,0.0729009713592582,0.09325291787885696,1.0,0.2471439774871677,0.2471439774871677,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.8124277428210005,0.00024417933091142177,0.00024417933091142177
B0006,35,105,360,355,29,pchip,poly3,0.25,0.002565624053609589,0.05154514128889112,0.05787940983055866,0.037825318409988894,0.8905609341869407,0.17273931680387417,0.19074535160304584,0.9056017111408121,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.867587279303078,2.2567800323188936e-05,2.2567800323188936e-05
B0006,40,125,355,350,28,pchip,poly3,0.25,0.007410767476057687,0.0447319150369228,0.04743363347502938,0.05183584044405655,0.9430421361347144,0.14525611264660576,0.1434564284945503,1.0125451621160626,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.8366890039409582,0.00035393546261608893,0.00035393546261608893
B0006,46,147,349,344,28,pchip,poly3,0.25,0.011738144906778684,0.058450246481215565,0.05976189001570812,0.07213715622518926,0.978052174485315,0.19163159630309887,0.18460400485515707,1.038068466897323,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.804955936153905,0.0009943650799474802,0.0009943650799474802
B0006,52,169,349,344,28,pchip,poly3,0.25,0.009580843178917026,0.05109209986258166,0.052662344516143586,0.0629253879846935,0.9701827811125924,0.16484860695190665,0.15835599283807436,1.0410001162410776,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.8047959837630554,0.0006296101763839616,0.0006296101763839616
B0006,58,193,345,340,28,pchip,poly3,0.0,0.06071795313781179,0.14786929424676515,0.14786929424676515,0.15098906679134383,1.0,0.4743931726849082,0.4743931726849082,1.0,False,B0006,0.1,0.03,0.1,1.0,0.15,0.0,1.784135717364381,0.002738394671827409,0.00452589467182741
B0006,63,213,341,336,27,poly3,poly3,0.0,0.0018810759221784465,0.07692048995974048,0.07692048995974048,0.07746530579688002,1.0,0.1708209936522423,0.1708209936522423,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.7535643657521505,0.00010549471827651876,0.00010549471827651876
B0006,69,235,337,332,27,pchip,pchip,0.0,0.0018402926351394442,0.09454937669099825,0.09454937669099825,0.09321927650019704,1.0,0.1176384023331466,0.1176384023331466,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.7351627828272078,0.0007975867592241304,0.0007975867592241304
B0006,75,259,333,328,27,pchip,pchip,0.0,0.006895214355982696,0.09913712208479387,0.09913712208479387,0.10071534017158808,1.0,0.10358356010853163,0.10358356010853163,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.7148743938735356,0.0025498636810633657,0.0025498636810633657
